Frequency db(v(net1001))
Hz dBV
2200000000 14.0894176892
2203379718.17 14.1986342245
2206764628.38 14.3095838372
2210154738.61 14.4223168448
2213550056.85 14.5368857797
2216950591.1 14.653345521
2220356349.37 14.7717534365
2223767339.68 14.8921695358
2227183570.09 15.0146566344
2230605048.62 15.1392805318
2234031783.35 15.2661102035
2237463782.36 15.3952180089
2240901053.72 15.5266799159
2244343605.54 15.6605757453
2247791445.93 15.7969894356
2251244583.02 15.9360093313
2254703024.94 16.077728497
2258166779.84 16.2222450589
2261635855.88 16.3696625798
2265110261.24 16.5200904674
2268590004.1 16.673644423
2272075092.68 16.8304469334
2275565535.16 16.9906278125
2279061339.79 17.1543247972
2282562514.8 17.3216842056
2286069068.44 17.4928616652
2289581008.97 17.6680229198
2293098344.67 17.8473447255
2296621083.82 18.0310158484
2300149234.73 18.2192381782
2303682805.71 18.4122279735
2307221805.09 18.6102172584
2310766241.21 18.8134553932
2314316122.41 19.0222108461
2317871457.07 19.2367731962
2321432253.56 19.4574554068
2324998520.27 19.6845964132
2328570265.61 19.9185640783
2332147497.99 20.1597585808
2335730225.84 20.4086163153
2339318457.6 20.6656143987
2342912201.74 20.9312758992
2346511466.71 21.2061759343
2350116261.0 21.4909488134
2353726593.1 21.7862964508
2357342471.52 22.0929983269
2360963904.79 22.4119233564
2364590901.43 22.7440441156
2368223469.99 23.0904540165
2371861619.03 23.4523881929
2375505357.12 23.831249102
2379154692.86 24.2286381837
2382809634.83 24.6463953791
2386470191.65 25.0866489756
2390136371.96 25.551879195
2393808184.38 26.0450003378
2397485637.56 26.5694683874
2401168740.19 27.1294241722
2404857500.92 27.7298871913
2408551928.46 28.377023267
2412252031.52 29.0785225728
2415957818.8 29.8441476055
2419669299.04 30.6865519207
2423386480.99 31.622547958
2427109373.41 32.6751563948
2430837985.07 33.8770975009
2434572324.75 35.2771445664
2438312401.26 36.9527174376
2442058223.41 39.0379123056
2445809800.02 41.7972959031
2449567139.94 45.8810059644
2453330252.01 53.8852443926
2457099145.12 59.6025903721
2460873828.13 47.6918027327
2464654309.94 42.8384273577
2468440599.46 39.7353419145
2472232705.62 37.4475913391
2476030637.34 35.6334910492
2479834403.59 34.1293609052
2483644013.31 32.8439925899
2487459475.49 31.7213182535
2491280799.12 30.7243963503
2495107993.2 29.8275938159
2498941066.75 29.0123948393
2502780028.81 28.2649877514
2506624888.42 27.574795181
2510475654.64 26.9335369266
2514332336.54 26.3346094342
2518194943.21 25.7726616087
2522063483.76 25.2432968308
2525937967.29 24.7428586403
2529818402.95 24.2682733885
2533704799.87 23.8169326009
2537597167.21 23.3866036009
2541495514.14 22.9753606182
2545399849.85 22.581530994
2549310183.54 22.2036526806
2553226524.43 21.8404403021
2557148881.73 21.4907577883
2561077264.7 21.1535961101
2565011682.6 20.8280550167
2568952144.68 20.5133279402
2572898660.24 20.208689432
2576851238.58 19.9134846366
2580809889.02 19.6271204196
2584774620.87 19.3490578469
2588745443.48 19.0788057757
2592722366.21 18.8159153657
2596705398.43 18.5599753564
2600694549.53 18.3106079853
